index,corso_laurea,anno,post_unirsm,oggi_sei,soddisfazione,lavoro_design,occupazione,parole_chiavi,voto_unirsm,amore_trovato,amore_corrisposto,amore_oggi,figli,quanti_figli
1,Triennale,2010,Non ho proseguito gli studi,Dipendente,10,Si,Design engineering; Project mangement,"passione, perseveranza, metodo",10,No,No,No,No,
2,Triennale,2015,Non ho proseguito gli studi,Stagista,5,Si,Progettazione di interni; disegno tecnico,"Organizzazione, metodo, precisione ",8,No,,,No,
3,Triennale,2007,Non ho proseguito gli studi,Libero professionista e dipendente,9,Si,Project mangement; Art direction,"Progettualità, semplicità, coerenza",9,No,,,No,
4,Triennale,2008,Magistrale (non Unirsm),Libero professionista,6,Si,Progettazione di interni; Allestimento,"Creatività, Funzionalità, Velocità",8,No,No,No,No,
5,Triennale,2010,Magistrale (non Unirsm),Libero professionista,7,Si,Editoria; Art direction,,8,No,,,No,
6,Triennale,2010,Magistrale (non Unirsm),Libero professionista,5,Si,Editoria; Art direction,,8,No,,,No,
7,Triennale,2006,Magistrale (non Unirsm),Libero professionista,9,Si,Design engineering; Art direction,Liberté egalité fraternité,5,Si,Si,No,Si,2
8,Triennale,2014,Non ho proseguito gli studi,Dipendente,7,Si,Design engineering; Ricerca e sviluppo in azienda,"Ricerca, ottimizzazione, fattibilità",8,No,,,No,
9,Triennale,2014,Corso di specializzazione,Libero professionista,7,Si,Sviluppo web e app; Service design,"empatia, user, metodo",8,No,No,No,No,
10,Triennale,2005,Corso di specializzazione,Dipendente,6,Si,Social media management; Project mangement,Sicurezza  costanza perseveranza,6,No,No,No,Si,1
11,Entrambe,2008,Magistrale (non Unirsm),Dipendente,9,Si,Project mangement; Ricerca e sviluppo in azienda,Tecnologia innovazione passione ,7,No,,,No,
12,Triennale,2009,Non ho proseguito gli studi,Libero professionista,9,Si,Marketing e Advertising; Art direction,"ricerca, innovazione, comprensione",8,No,,No,No,
13,Triennale,2008,Magistrale (non Unirsm),Dipendente,8,Si,Progettazione di interni; Editoria,"coerenza, rigore, stupore",9,No,No,No,No,
14,Triennale,2006,Magistrale (non Unirsm),socio titolare e lavoratore in uno studio di progettazione,10,Si,Progettazione di interni; Art direction,"Metodo, ricerca, passione",10,No,No,No,Si,1
15,Triennale,2015,Magistrale (non Unirsm),Sto ancora studiando,,Si,Editoria; Marketing e Advertising,,9,No,,,No,
16,Triennale,2007,Non ho proseguito gli studi,Libero professionista,6,Si,Editoria; Art direction,"Divertente, Professionale, Incasinata",7,Si,Si,No,Si,1
17,Triennale,2009,Corso di specializzazione,Dipendente,8,Si,Video e multimedia; Ricerca e sviluppo in azienda,"curiosità, determinaizione, adattamento",8,No,No,No,No,
18,Triennale,2015,Non ho proseguito gli studi,Libero professionista,9,Si,Illustrazione; Video e multimedia,,9,,,,,
19,Triennale,2015,Magistrale (non Unirsm),Sto ancora studiando,,No,Marketing e Advertising; Social media management,,8,No,No,No,No,
20,Triennale,2015,Non ho proseguito gli studi,Dipendente,8,Si,Marketing e Advertising; Sviluppo web e app,Accrescimento - versatilità - Produttività,8,No,No,,No,
21,Triennale,2015,Non ho proseguito gli studi,Stagista,8,Si,Scuola e formazione; Design di prodotto,"fantasia, tradizione, metodo",8,Si,Si,Si,No,
22,Triennale,2015,Non ho proseguito gli studi,Stagista,4,Si,Marketing e Advertising; Ricerca e sviluppo in azienda,"Interazione pubblico, curiosità, versatilità",4,No,No,No,No,
23,Triennale,2015,Non ho proseguito gli studi,Dipendente,8,Si,Marketing e Advertising; Sviluppo web e app,Sviluppo - Accrescimento - Versatilità,10,No,,,No,
24,Triennale,2006,Magistrale (non Unirsm),Dipendente,7,Si,Progettazione di interni; Allestimento,,9,No,No,No,Si,1
25,Triennale,2013,Corso di specializzazione,Libero professionista,9,Si,Marketing e Advertising; Video e multimedia,Bizzarra Attenta Evolvente ,8,No,No,No,No,
26,Triennale,2011,Magistrale (non Unirsm),Sto ancora studiando,7,Si,Editoria; Art direction,"metodo, accessibilità, chiarezza",9,No,No,No,No,
